model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,inflesz_pred,inflesz_src,inflesz_delta
mistral,mistral_cfg_1,R0,0.7,0.9,1.1,512.0,40.18713014678563,83.87639075003511,88.31434213016652,-4.437951380131401,1.457769598017839,1.0,0.42815755272585065,0.0,0.4729556457192734,0.3302972992023211,61.49420027371049,51.98361474783032,9.510585525880165
mistral,mistral_cfg_1,R1,0.7,0.9,1.1,512.0,41.88567987791666,79.87352587057104,88.31434213016652,-8.440816259595474,1.8364864633704454,1.5,0.41159313012736476,0.0,0.5080836228229962,0.3119027689059864,52.92456697446111,51.98361474783032,0.9409522266307817
mistral,mistral_cfg_1,R2,0.7,0.9,1.1,512.0,38.719063681898916,83.27739870528791,88.31434213016652,-5.036943424878609,1.3904109562436404,1.05,0.4238978486829108,0.0,0.5049736230087346,0.3929413041790681,58.00129510267027,51.98361474783032,6.017680354839941
mistral,mistral_cfg_1,R3,0.7,0.9,1.1,512.0,40.151991188437094,81.95951515693045,88.31434213016652,-6.354826973236057,1.7228813750617469,0.95,0.30760356520508475,0.0,0.5425693094493955,0.34461297240514954,57.26514621397223,51.98361474783032,5.2815314661419
mistral,mistral_cfg_1,R4,0.7,0.9,1.1,512.0,39.30149510813471,80.7644401193779,88.31434213016652,-7.549902010788619,1.908856031882511,1.15,0.32935740558932136,0.0,0.5661131303472754,0.3538099869977368,57.59116524513574,51.98361474783032,5.607550497305423
mistral,mistral_cfg_2,R0,0.3,0.9,1.15,400.0,40.35895429026972,82.49294456113174,88.31434213016652,-5.821397569034781,1.3930121879355257,0.8,0.4438147334140248,0.0,0.49923437118680314,0.37174110513010983,53.91950843977337,51.98361474783032,1.9358936919430385
mistral,mistral_cfg_2,R1,0.3,0.9,1.15,400.0,39.645069945634205,81.62645077707012,88.31434213016652,-6.687891353096383,1.6434250789601126,1.05,0.38203821834951346,0.0,0.5492722502367969,0.3782804034071928,55.10909625312822,51.98361474783032,3.1254815052978944
mistral,mistral_cfg_2,R2,0.3,0.9,1.15,400.0,37.326791202603665,83.44410974393499,88.31434213016652,-4.870232386231526,1.8104760296579112,1.05,0.37759744375297327,0.0,0.5487127985835091,0.38329261080209454,56.90956526052165,51.98361474783032,4.9259505126913234
mistral,mistral_cfg_2,R3,0.3,0.9,1.15,400.0,40.156163652874014,83.13892307596282,88.31434213016652,-5.175419054203693,1.5146712724131037,1.05,0.42542372766380704,0.0,0.5298632801323321,0.38517907007014485,55.15329980864912,51.98361474783032,3.169685060818806
mistral,mistral_cfg_2,R4,0.3,0.9,1.15,400.0,39.35724431265742,81.45624468122983,88.31434213016652,-6.858097448936684,1.7218630538054562,1.15,0.3611717465224772,0.0,0.5337163968695549,0.3451863636380145,54.80565860532293,51.98361474783032,2.8220438574926043
