additions_proportion,bertscore_f1,bleu,compression_ratio_eval,config_label,config_signature,deletions_proportion,exact_copy,fernandez_huerta_delta,fernandez_huerta_pred,fernandez_huerta_src,gen_do_sample,gen_max_new_tokens,gen_no_repeat_ngram_size,gen_repetition_penalty,gen_temperature,gen_top_p,inflesz_delta,inflesz_pred,inflesz_src,leader_score,levenshtein_similarity,model_key,owner,prompt_family,rouge1_f,rouge2_f,rougeL_f,ruleset,sari,sentence_splits
0.3919254576744292,0.8071358233690262,14.297969262780136,0.8616919719454137,llama3_cfg_3,few-shot | hariel | llama3 | llama3_cfg_3 | R1 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0 | do_sample=NA | ngram=NA,0.4814667466137095,0.0,-6.149181433977059,82.16516069618946,88.31434213016652,NA,256.0,NA,1.15,0.3,0.9,12.371868344462367,64.3554830922927,51.98361474783032,58.01346415514875,0.4655484214121569,llama3,hariel,few-shot,0.4772117601436907,0.2841981347718528,0.4172461243965146,R1,42.88005203397951,0.7
0.2470640621809439,0.8080211013555527,15.4302957487556,0.7652340713525766,llama3_cfg_1,few-shot | hariel | llama3 | llama3_cfg_1 | R0 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0 | do_sample=NA | ngram=NA,0.4282078701293308,0.0,-1.2645368102704395,87.04980531989608,88.31434213016652,NA,256.0,NA,1.05,0.2,0.85,20.08858338000075,72.07219812783107,51.98361474783032,56.40596122269267,0.5570164519196841,llama3,hariel,few-shot,0.4965897857960201,0.2960888725700343,0.4227934674427918,R0,40.14186194745093,0.6
0.4114589334825979,0.7948837429285049,13.424919408827453,0.8005275037641244,llama3_cfg_1,few-shot | nancy | llama3 | llama3_cfg_1 | R1 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0 | do_sample=NA | ngram=NA,0.5373713183116555,0.0,-6.866333603385991,81.44800852678051,88.31434213016652,NA,256.0,NA,1.15,0.3,0.9,15.156126881098682,67.139741628929,51.98361474783032,56.34065168884938,0.4945298625202438,llama3,nancy,few-shot,0.4547625147858877,0.2600102331368735,0.3723308572180241,R1,40.9088366195153,0.75
0.3532444948403794,0.8020127296447754,13.659721038347351,0.9726205638449512,nancy_mistral_cfg_1,zero-shot | nancy | mistral | nancy_mistral_cfg_1 | R0 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0 | do_sample=True | ngram=4.0,0.4036857387868428,0.0,-7.474442694679387,80.83989943548713,88.31434213016652,True,512.0,4.0,1.1,0.7,0.9,12.18094903094153,64.16456377877185,51.98361474783032,56.28267844175815,0.5241465241984318,mistral,nancy,zero-shot,0.4924436269540088,0.2918864481964495,0.4082204471260663,R0,40.33694875994522,1.0
0.3457657868143239,0.7972082883119583,12.675897023133343,0.972868535843864,hariel_mistral_cfg_3,zero-shot | hariel | mistral | hariel_mistral_cfg_3 | R0 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256.0 | do_sample=NA | ngram=NA,0.4026835772177726,0.0,-5.391962847624629,82.92237928254188,88.31434213016652,NA,256.0,NA,1.1,0.2,0.85,13.338409708463676,65.322024456294,51.98361474783032,56.22003144785684,0.5398010342563195,mistral,hariel,zero-shot,0.4862295327687895,0.2718918156822404,0.4085605139491533,R0,40.55283319229751,0.8
0.3791245957100541,0.7964147865772248,12.531407856798497,1.1106394058521374,hariel_mistral_cfg_2,zero-shot | hariel | mistral | hariel_mistral_cfg_2 | R1 | temp=0.1 | top_p=0.85 | rep=1.1 | max_new=256.0 | do_sample=NA | ngram=NA,0.4136665125779844,0.0,-6.340527291187934,81.97381483897858,88.31434213016652,NA,256.0,NA,1.1,0.1,0.85,7.596422366141729,59.58003711397206,51.98361474783032,56.195682589956554,0.4887770591356364,mistral,hariel,zero-shot,0.4762389946689573,0.2685034790358974,0.4033774840554112,R1,40.56515187811261,0.55
0.4895532239016131,0.7924735367298126,11.302198375651864,0.8437990085719969,hariel_llama3_cfg_3,zero-shot | hariel | llama3 | hariel_llama3_cfg_3 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0 | do_sample=NA | ngram=NA,0.5765589918522015,0.0,-1.7649511371335982,86.54939099303292,88.31434213016652,NA,256.0,NA,1.15,0.3,0.9,20.684757789583045,72.66837253741338,51.98361474783032,56.09485715532108,0.430649415881435,llama3,hariel,zero-shot,0.4270360870497706,0.2267528836238202,0.3652411039737934,R4,40.65985947688097,0.8
0.3596630394616328,0.7995883256196976,12.85575669862165,0.8406326982168764,llama3_cfg_2,few-shot | nancy | llama3 | llama3_cfg_2 | R0 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0 | do_sample=NA | ngram=NA,0.4738486238243073,0.0,-5.000126692591094,83.31421543757543,88.31434213016652,NA,512.0,NA,1.1,0.7,0.9,12.310704481062922,64.29431922889324,51.98361474783032,56.07275751427746,0.5230087744848617,llama3,nancy,few-shot,0.4461626901872966,0.2580974753089899,0.3876237620392337,R0,40.1487074824826,0.55
0.4302551863561057,0.7998507112264633,13.214296314155382,1.2264201009469695,mistral_cfg_3,few-shot | hariel | mistral | mistral_cfg_3 | R0 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256.0 | do_sample=NA | ngram=NA,0.3634367479446149,0.0,-6.375501393658442,81.93884073650807,88.31434213016652,NA,256.0,NA,1.1,0.2,0.85,6.056825038926043,58.04043978675637,51.98361474783032,56.03416519940616,0.4682895490287803,mistral,hariel,few-shot,0.4708245344297042,0.2747594890025885,0.4147076216356878,R0,40.06689458391271,0.75
0.4775688802695748,0.7948023200035095,13.345581871532394,1.4098162426116536,mistral_cfg_1,few-shot | hariel | mistral | mistral_cfg_1 | R4 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256.0 | do_sample=NA | ngram=NA,0.331331488180092,0.0,-5.680600962820366,82.63374116734614,88.31434213016652,NA,256.0,NA,1.1,0.3,0.9,-2.1075721271361245,49.87604262069421,51.98361474783032,56.033261872286054,0.4660875488790032,mistral,hariel,few-shot,0.4561894429900812,0.2624161203690293,0.4054921640504988,R4,40.401948453576125,0.6
0.3897054910823451,0.8033660233020783,11.783828480559496,0.769153685965799,hariel_llama3_cfg_1,zero-shot | hariel | llama3 | hariel_llama3_cfg_1 | R3 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0 | do_sample=NA | ngram=NA,0.5429739587035837,0.0,-1.3537593280656868,86.96058280210083,88.31434213016652,NA,256.0,NA,1.05,0.2,0.85,23.83120009385026,75.81481484168059,51.98361474783032,56.032998613665825,0.4405593121447627,llama3,hariel,zero-shot,0.4615684424227072,0.2422960538267606,0.3922028559821803,R3,39.83059613597116,0.85
