model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,owner,leader_score,config_signature
mistral,mistral_cfg_2,R2,0.1,0.85,1.1,256.0,39.46710990235937,11.76529471942186,84.1107612324722,88.31434213016652,-4.203580897694304,1.311973892564034,0.6,0.434538798157044,0.0,0.4677348260716205,0.371498793807842,0.4509112046532835,0.2522928325042982,0.3995046249313733,57.92810782474733,51.98361474783032,5.944493076917,0.7954983800649643,hariel,55.50020114401419,hariel | mistral | mistral_cfg_2 | R2 | temp=0.1 | top_p=0.85 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_2,R1,0.1,0.85,1.1,256.0,39.57415669848125,11.43160218300334,85.56012405058462,88.31434213016652,-2.754218079581892,1.5702299984826549,0.85,0.4128087910467638,0.0,0.4772020960026626,0.3368143807906536,0.4388480562439512,0.2537796629687259,0.3992550133699036,59.19438911409693,51.98361474783032,7.210774366266608,0.7931990802288056,hariel,55.47245722824097,hariel | mistral | mistral_cfg_2 | R1 | temp=0.1 | top_p=0.85 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_1,R3,0.3,0.9,1.1,256.0,40.18387690755196,10.97021081575448,85.65413768935377,88.31434213016652,-2.660204440812734,1.5744977492700027,0.8,0.4176535895198419,0.0,0.51558940053072,0.3518511724256878,0.4269636185518718,0.2416185152935632,0.3770145994836867,56.78238617506649,51.98361474783032,4.7987714272361695,0.7821228265762329,hariel,55.39523920758049,hariel | mistral | mistral_cfg_1 | R3 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_1,R0,0.3,0.9,1.1,256.0,39.84243417592772,13.1401589214745,83.6362061205462,88.31434213016652,-4.678136009620311,1.4055310837426005,0.75,0.440281863804451,0.0,0.4635003778243968,0.3419186572072602,0.4519960576680869,0.267974963472209,0.399651359194165,56.84281849334586,51.98361474783032,4.859203745515535,0.7850923150777817,hariel,55.3091531086679,hariel | mistral | mistral_cfg_1 | R0 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_2,R4,0.2,0.9,1.1,256.0,39.41963367787773,13.29380051382403,83.7103825283854,88.31434213016652,-4.603959601781126,0.7780400219937145,0.6,0.502895058373084,0.0,0.3858185342218284,0.5202731835562122,0.4238834326473293,0.2481939526705271,0.3696485258586027,69.72471263723405,51.98361474783032,17.741097889403726,0.7907137542963028,hariel,55.280330378578746,hariel | llama3 | llama3_cfg_2 | R4 | temp=0.2 | top_p=0.9 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_1,R2,0.7,0.9,1.1,512.0,39.75438615696171,12.575512303724189,83.29479169822318,88.31434213016652,-5.019550431943336,1.4617311585553838,0.55,0.4103221939919315,0.0,0.4485265719144523,0.3322390281182239,0.4372250588459721,0.2395803731756003,0.3868437624717794,51.97902289297223,51.98361474783032,-0.0045918548581006,0.7856744766235352,nancy,55.27961075911843,nancy | mistral | mistral_cfg_1 | R2 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
mistral,mistral_cfg_1,R2,0.3,0.9,1.1,256.0,39.29110687115755,11.802504979098156,82.44365168006655,88.31434213016652,-5.870690450099969,1.3817571031662643,0.8,0.4654341497700856,0.0,0.4629477248737512,0.3413159107694882,0.4676342308166889,0.2708377561673942,0.4061580513056485,56.31776956437288,51.98361474783032,4.334154816542563,0.7912096351385116,hariel,55.223049528234995,hariel | mistral | mistral_cfg_1 | R2 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_2,R0,0.1,0.85,1.1,256.0,38.61390873784033,13.63963388642932,84.76033794614484,88.31434213016652,-3.554004184021667,1.180985796024531,0.6,0.5059873210075732,0.0,0.4063895825143351,0.3455920698729032,0.4635818759398287,0.2780516170931323,0.4122732571256244,57.14572860016108,51.98361474783032,5.162113852330749,0.8012609332799911,hariel,55.218782573903844,hariel | mistral | mistral_cfg_2 | R0 | temp=0.1 | top_p=0.85 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_3,R4,0.3,0.9,1.15,256.0,39.680586247538,11.354206097563416,83.40770280640662,88.31434213016652,-4.906639323759892,0.7879629917023108,0.5,0.4680660013724112,0.0,0.4527726282603067,0.5726273949841227,0.4052435314976475,0.224931599823815,0.3358729607076781,68.38291897157629,51.98361474783032,16.399304223745954,0.7833481848239898,hariel,55.14227914148239,hariel | llama3 | llama3_cfg_3 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
mistral,mistral_cfg_2,R0,0.3,0.9,1.15,400.0,39.438461571423225,12.28133591851176,79.99607978867398,88.31434213016652,-8.318262341492531,1.313032512822764,1.0,0.4226476060509213,0.0,0.4735186310703426,0.3700848822186808,0.4502084787947525,0.2581790339275013,0.388034280519814,56.65801115887977,51.98361474783032,4.6743964110494485,0.7861147403717041,nancy,55.1076665577221,nancy | mistral | mistral_cfg_2 | R0 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=400.0
mistral,mistral_cfg_2,R3,0.3,0.9,1.15,400.0,39.59990768564338,10.037955977438475,80.7207539884994,88.31434213016652,-7.593588141667122,1.5171754639329786,0.85,0.3764605227946496,0.0,0.5200151244865288,0.3597398062141493,0.4206970975252513,0.2228332249743791,0.3518277019360661,53.8874712985053,51.98361474783032,1.9038565506749687,0.7800176501274109,nancy,54.96065061648247,nancy | mistral | mistral_cfg_2 | R3 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=400.0
mistral,mistral_cfg_1,R4,0.7,0.9,1.1,512.0,39.55728582923031,12.05024155868758,81.36753835628276,88.31434213016652,-6.946803773883753,1.5234370761112186,0.95,0.4425805336378426,0.0,0.487955439923004,0.3310592276066922,0.4399020187468275,0.2368237221488935,0.3890180311460353,54.71158434438492,51.98361474783032,2.727969596554594,0.780611315369606,nancy,54.958824112322425,nancy | mistral | mistral_cfg_1 | R4 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
llama3,llama3_cfg_2,R4,0.7,0.9,1.1,512.0,39.09459264875971,12.980107312399449,82.03826922519423,88.31434213016652,-6.276072904972287,0.7219557671908827,0.65,0.4544060793592663,0.0,0.3574687950815208,0.5391411266382323,0.4144177733423227,0.2330481663644136,0.3575039558043072,73.72405938061686,51.98361474783032,21.74044463278653,0.7835241943597794,nancy,54.797723363646995,nancy | llama3 | llama3_cfg_2 | R4 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
mistral,mistral_cfg_1,R0,0.7,0.9,1.1,512.0,39.54113994454831,10.34015821940289,82.45052380424978,88.31434213016652,-5.863818325916731,1.5673266649501074,0.95,0.4233482687330806,0.0,0.5348347239530846,0.3534493352180049,0.4151991580279933,0.2390092954036228,0.3618098610544981,55.09095088753476,51.98361474783032,3.107336139704433,0.7756054788827896,nancy,54.74890312204057,nancy | mistral | mistral_cfg_1 | R0 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
mistral,mistral_cfg_2,R4,0.1,0.85,1.1,256.0,38.81880577347149,11.094611976774235,87.2909261110651,88.31434213016652,-1.023416019101404,1.519000046617358,1.05,0.3593806978470343,0.0,0.5023865333621113,0.3598355364144125,0.4150940361881659,0.2226984266343237,0.363142443546972,59.29868476710984,51.98361474783032,7.315070019279514,0.7857368469238282,hariel,54.72075734103602,hariel | mistral | mistral_cfg_2 | R4 | temp=0.1 | top_p=0.85 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_2,R3,0.7,0.9,1.1,512.0,38.7891739000038,11.25091201420533,78.94482636463009,88.31434213016652,-9.369515765536416,0.7491808932612296,0.7,0.4495157068695784,0.0,0.3966016997336844,0.5591798308594742,0.422549238921881,0.229502229918415,0.3526615601597466,69.7758724928391,51.98361474783032,17.792257745008765,0.7837432861328125,nancy,54.623235785314776,nancy | llama3 | llama3_cfg_2 | R3 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
mistral,mistral_cfg_1,R3,0.7,0.9,1.1,512.0,38.8412850732204,9.690272760501454,80.23021424530756,88.31434213016652,-8.084127884858953,1.5248645366686564,1.4,0.3887019361242225,0.0,0.5207189508633516,0.3633979459706012,0.4234724629498842,0.2196253508785999,0.3530268673739594,59.944430058089495,51.98361474783032,7.960815310259164,0.770437291264534,nancy,54.122262694513594,nancy | mistral | mistral_cfg_1 | R3 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
mistral,mistral_cfg_2,R4,0.3,0.9,1.15,400.0,37.95537376595279,9.823561656041049,78.77574696137876,88.31434213016652,-9.538595168787754,1.571719372228449,0.95,0.3712688168901252,0.0,0.5187332877155788,0.3773983259949833,0.4152479535652472,0.2149134568127335,0.3574707758589509,51.163696820580746,51.98361474783032,-0.819917927249579,0.7814261496067048,nancy,54.030270243839865,nancy | mistral | mistral_cfg_2 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=400.0
